text,label,id
"first , for a movie that tries to be smart , it 's kinda dumb .",negative,5240
sorvino is delightful in the central role .,positive,1947
... this is n't even a movie we can enjoy as mild escapism ; it is one in which fear and frustration are provoked to intolerable levels .,negative,4744
"some episodes work , some do n't .",negative,4193
how i killed my father would be a rarity in hollywood .,negative,3848
a fanciful drama about napoleon 's last years and his surprising discovery of love and humility .,positive,2876
just send it to cranky .,negative,7080
"ze movie starts out so funny , then she is nothing .",positive,5284
"director chris wedge and screenwriters michael berg , michael j. wilson and peter ackerman create some episodes that rival vintage looney tunes for the most creative mayhem in a brief amount of time .",positive,2868
"if you 're looking for a tale of brits behaving badly , watch snatch again .",positive,6422
a wildly entertaining scan of evans ' career .,positive,3146
"no amount of arty theorizing -- the special effects are ` german-expressionist , ' according to the press notes -- can render it anything but laughable .",negative,5268
"visually engrossing , seldom hammy , honorably mexican and burns its kahlories with conviction .",positive,1567
go back to sleep .,negative,8271
a joyous occasion,positive,8409
"with a `` spy kids '' sequel opening next week , why bother with a contemptible imitator starring a `` snl '' has-been acting like an 8-year-old channeling roberto benigni ?",negative,7436
