id,text
1583,"question : what is this document about? 
 answer : sports 
 context : men basketball news update . bloomington ind . playing in its big challenge game at assembly hall the indiana hoosiers put up a fight but fell on the short end to no 
"
2021,"question : what is this document about? 
 answer : politics 
 context : bush to name choice to lead education dept . washington president bush today will nominate margaret spellings his chief domestic policy adviser as secretary of education making her the third senior white house staff member selected to lead a key agency in his second term senior 
"
3732,"question : what is this document about? 
 answer : politics 
 context : battleground voters wrestle with us economy security . afp political strategists determined early on that this years white house race would come down to a block of uncommitted or voters in a smattering of us states 
"
1592,"question : what is this document about? 
 answer : politics 
 context : local russians shocked by tragedy . seattle russian community reacted with a mixture of sorrow anger and frustration sorrow for the children who died in the hostage crisis at a school in beslan anger 
"
2727,"question : what is this document about? 
 answer : politics 
 context : two italian two iraqi hostages released in iraq . two italian aid workers have been released three weeks after being kidnapped in baghdad . also free are two iraqis abducted at the same time 
"
3721,"question : what is this document about? 
 answer : business 
 context : us prosecutors probe circulation at ny tabloids . us prosecutors in new york have subpoenaed two new york city tabloids the daily news and new york post in a probe of how the rivals report circulation figures to potential advertisers 
"
3724,"question : what is this document about? 
 answer : sports 
 context : happy return for youkilis . if you dont think kevin youkilis is happy to be back in the red sox lineup consider he was in his uniform and on the field three hours before last nights game against the devil rays 
"
1860,"question : what is this document about? 
 answer : politics 
 context : dutch arrest alleged saddam aide . dutch police have arrested a chemicals dealer suspected of involvement in war crimes and genocide committed by the regime of ousted iraqi leader saddam hussein the dutch national prosecutor office said today 
"
3852,"question : what is this document about? 
 answer : technology 
 context : cisco unveils switches software for smbs . cisco systems on monday is set to take aim at small and businesses that have growing needs and sparse technical expertise introducing a pair of lan switches and a graphical management application 
"
1794,"question : what is this document about? 
 answer : business 
 context : airbus drops microsoft ruling objections . new york airbus has withdrawn its challenge to a european union antitrust ruling against microsoft only days after the aircraft makers intervention became public the wall street journal reported on friday citing unnamed sources 
"
3824,"question : what is this document about? 
 answer : sports 
 context : sanderson takes coaching job at iowa sta . ap olympic gold medalist cael sanderson was hired as an assistant wrestling coach at iowa state where he went while winning four ncaa championships 
"
4398,"question : what is this document about? 
 answer : business 
 context : staples profit sees qtr in line . reuters staples the top office products retailer on tuesday reported a percent jump in quarterly profit due to higher sales of furniture supplies and a strong performance in europe 
"
1880,"question : what is this document about? 
 answer : technology 
 context : last call for us orders . get em in by thursday december 
"
3781,"question : what is this document about? 
 answer : business 
 context : microsoft placates two foes . editor microsoft announced that it paid an undisclosed amount to the ccia trade group so that it won challenge the software maker us antitrust settlement or participate in a european union antitrust case 
"
1961,"question : what is this document about? 
 answer : business 
 context : india prepares for special partnership with eu . india prime minister manmohan singh has hailed a european union proposal to forge a strategic partnership with india . singh told reporters the move is a recognition of india growing stature and influence and india welcomes the development 
"
361,"question : what is this document about? 
 answer : sports 
 context : keane and vieira in ot fitness race . arsenal captain patrick vieira and manchester united skipper roy keane are both battling to be fit for sunday premiership showdown at old trafford 
"
1996,"question : what is this document about? 
 answer : technology 
 context : nasa picks swede launch site for balloons . ap nasa has agreed to launch its largest scientific balloons from a site in northern sweden a spokesman said tuesday 
"
1545,"question : what is this document about? 
 answer : business 
 context : jarvis facing collapse as debts mount . rail and road contracting firm jarvis sent its shares crashing again yesterday when it gave warning it faced collapse within weeks if it could not reschedule with its banks 
"
344,"question : what is this document about? 
 answer : technology 
 context : nasa rover hit the one year mark on mars . sitting on of an alien world millions of miles from home a hardy 
"
1978,"question : what is this document about? 
 answer : sports 
 context : yankees could be without rivera early in alcs . new york ny new york yankees closer mariano rivera is reportedly dealing with a personal issue that could affect his availability early in the american league championship series against the boston red sox which begins tuesday in the 
"
4461,"question : what is this document about? 
 answer : sports 
 context : taylor wants world title . shannan taylor plans to use his world boxing foundation super middleweight title fight on friday as battery charge for his attempt on a far more prestigious and meaningful world title next year 
"
2752,"question : what is this document about? 
 answer : technology 
 context : buying bowl tickets is a game in itself . tickets to your favorite bowl game are readily available for a price 
"
283,"question : what is this document about? 
 answer : politics 
 context : abuse gets sentence . a military court sentenced staff sgt . ivan frederick yesterday to eight years in prison for abusing iraqi prisoners last year in the grim chambers of abu ghraib 
"
330,"question : what is this document about? 
 answer : business 
 context : reebok posts rise in profit . chicago reebok international reported a percent pop in profit for the third quarter thursday and said that its chairman will take on the duties of the company 
"
1858,"question : what is this document about? 
 answer : sports 
 context : china finishes in springboard diving . guo jingjing and wu minxia gave china gold and silver thursday night in the olympic women springboard diving event . china ran its diving medal total to seven 
"
1601,"question : what is this document about? 
 answer : technology 
 context : sun micro posts narrower quarterly loss . network computer maker sun microsystems on thursday posted a narrower quarterly loss as revenue rose year over year for the second consecutive quarter after three years of declines sending shares slightly higher 
"
2684,"question : what is this document about? 
 answer : sports 
 context : greece shamed again at their own games . athens the greeks were shamed again at their own olympics on sunday when bronze medal weightlifter leonidas sampanis was kicked out after failing a dope test 
"
3675,"question : what is this document about? 
 answer : politics 
 context : africa urges to verify rwandan soldiers presence in congo . south africa wednesday demanded verification of the presence of invading rwandan soldiersin the democratic republic of the congo 
"
3790,"question : what is this document about? 
 answer : technology 
 context : tivo netflix sign development deal . tivo ceo mike ramsay resigns from his board position at netflix to avoid conflicts of interest 
"
4394,"question : what is this document about? 
 answer : politics 
 context : tel aviv to take a second look . israel on monday offered its first indication that it was reassessing relations with the palestinians after yasser arafats death suggesting it might coordinate a planned withdrawal 
"
2695,"question : what is this document about? 
 answer : business 
 context : fda weighs antidepressant risks for kids . bethesda md . a advisory panel began meeting monday to debate whether certain antidepressants should come with stronger warnings about the chances of suicidal behavior in children and teens who take the drugs 
"
4403,"question : what is this document about? 
 answer : technology 
 context : microsoft enters fray . computer users already associate microsoft software with spyware and viruses . but the company hopes to someday be better known for eradicating them not attracting them 
"
