id,text
7360,"question : is this sentence positive or negative? 
 answer : negative 
 context : i liked the original short story but this movie , even at an hour and twenty-some minutes , it 's too long and it goes nowhere . 
"
6529,"question : is this sentence positive or negative? 
 answer : negative 
 context : opera on film is never satisfactory . 
"
6554,"question : is this sentence positive or negative? 
 answer : negative 
 context : plays like a glossy melodrama that occasionally verges on camp . 
"
2567,"question : is this sentence positive or negative? 
 answer : positive 
 context : famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer . 
"
2456,"question : is this sentence positive or negative? 
 answer : positive 
 context : but they fascinate in their recklessness . 
"
6285,"question : is this sentence positive or negative? 
 answer : negative 
 context : `` freaky friday , '' it 's not . 
"
7429,"question : is this sentence positive or negative? 
 answer : negative 
 context : when ` science fiction ' takes advantage of the fact that its intended audience has n't yet had much science , it does a disservice to the audience and to the genre . 
"
1440,"question : is this sentence positive or negative? 
 answer : positive 
 context : a dashing and absorbing outing with one of france 's most inventive directors . 
"
7109,"question : is this sentence positive or negative? 
 answer : negative 
 context : the movie resolutely avoids all the comic possibilities of its situation , and becomes one more dumb high school comedy about sex gags and prom dates . 
"
850,"question : is this sentence positive or negative? 
 answer : positive 
 context : it 'll keep you wide awake and ... very tense . 
"
6043,"question : is this sentence positive or negative? 
 answer : negative 
 context : kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business . 
"
1430,"question : is this sentence positive or negative? 
 answer : negative 
 context : a rude black comedy about the catalytic effect a holy fool has upon those around him in the cutthroat world of children 's television . 
"
1048,"question : is this sentence positive or negative? 
 answer : positive 
 context : holm does his sly , intricate magic , and iben hjelje is entirely appealing as pumpkin . 
"
3030,"question : is this sentence positive or negative? 
 answer : positive 
 context : a solidly constructed , entertaining thriller that stops short of true inspiration . 
"
1722,"question : is this sentence positive or negative? 
 answer : positive 
 context : frequent flurries of creative belly laughs and genuinely enthusiastic performances ... keep the movie slaloming through its hackneyed elements with enjoyable ease . 
"
8364,"question : is this sentence positive or negative? 
 answer : positive 
 context : genuinely unnerving . 
"
